Created with UCDetector 1.10.0	2016-05-14 13:33:23	http://www.ucdetector.org/	
net.sf.freecol.common.model.ProductionMap.remove(ProductionMap.java:198)	Change visibility of Method "ProductionMap.remove(List<AbstractGoods>)" to default	ProductionMap.remove(List<AbstractGoods>)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.InciteTradeItem.InciteTradeItem(InciteTradeItem.java:63)	Change visibility of Constructor "InciteTradeItem.InciteTradeItem(Game,FreeColXMLReader)" to default	InciteTradeItem.InciteTradeItem(Game,FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.InciteTradeItem.getTagName(InciteTradeItem.java:194)	Change visibility of Method "InciteTradeItem.getTagName()" to default	InciteTradeItem.getTagName()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Consumer.<init>(Consumer.java:33)	Change visibility of Interface "Consumer" to default - May cause compile errors!	Consumer	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.HistoryEvent.HistoryEvent(HistoryEvent.java:125)	Change visibility of Constructor "HistoryEvent.HistoryEvent(FreeColXMLReader)" to default	HistoryEvent.HistoryEvent(FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.<init>(Occupation.java:32)	Change visibility of Class "Occupation" to default - May cause compile errors!	Occupation	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.Occupation(Occupation.java:48)	Change visibility of Constructor "Occupation.Occupation(WorkLocation,ProductionType,GoodsType)" to default	Occupation.Occupation(WorkLocation,ProductionType,GoodsType)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.install(Occupation.java:62)	Change visibility of Method "Occupation.install(Unit)" to default	Occupation.install(Unit)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.improve(Occupation.java:144)	Change visibility of Method "Occupation.improve(Unit,WorkLocation,int,Collection<GoodsType>,*)" to default	Occupation.improve(Unit,WorkLocation,int,Collection<GoodsType>,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.improve(Occupation.java:176)	Change visibility of Method "Occupation.improve(UnitType,WorkLocation,int,Collection<GoodsType>,*)" to default	Occupation.improve(UnitType,WorkLocation,int,Collection<GoodsType>,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.workLocation(Occupation.java:34)	Change visibility of Field "Occupation.workLocation" to default	Occupation.workLocation	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.productionType(Occupation.java:35)	Change visibility of Field "Occupation.productionType" to default	Occupation.productionType	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Occupation.workType(Occupation.java:36)	Change visibility of Field "Occupation.workType" to default	Occupation.workType	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.UnitLocation.UnitLocation(UnitLocation.java:138)	Change visibility of Constructor "UnitLocation.UnitLocation(Game)" to default	UnitLocation.UnitLocation(Game)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.UnitLocation.UnitLocation(UnitLocation.java:148)	Change visibility of Constructor "UnitLocation.UnitLocation(Game,String)" to default	UnitLocation.UnitLocation(Game,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.UnitLocation.hasCarrierWithSpace(UnitLocation.java:234)	Method "UnitLocation.hasCarrierWithSpace(int)" has 0 references	UnitLocation.hasCarrierWithSpace(int)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.UnitLocation.getCarrierForUnit(UnitLocation.java:254)	Change visibility of Method "UnitLocation.getCarrierForUnit(Unit)" to default	UnitLocation.getCarrierForUnit(Unit)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.UnitLocation.moveToFront(UnitLocation.java:471)	Method "UnitLocation.moveToFront(Unit)" has 0 references	UnitLocation.moveToFront(Unit)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.SimpleCombatModel.getDefencePower(SimpleCombatModel.java:196)	Change visibility of Method "SimpleCombatModel.getDefencePower(FreeColGameObject,FreeColGameObject,*)" to private	SimpleCombatModel.getDefencePower(FreeColGameObject,FreeColGameObject,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.SimpleCombatModel.MAXIMUM_BOMBARD_POWER(SimpleCombatModel.java:53)	Change visibility of Constant "SimpleCombatModel.MAXIMUM_BOMBARD_POWER" to private	SimpleCombatModel.MAXIMUM_BOMBARD_POWER	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.SimpleCombatModel.STRONG_DEFENCE_THRESHOLD(SimpleCombatModel.java:56)	Change visibility of Constant "SimpleCombatModel.STRONG_DEFENCE_THRESHOLD" to private	SimpleCombatModel.STRONG_DEFENCE_THRESHOLD	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.SimpleCombatModel.UNKNOWN_DEFENCE_MODIFIER(SimpleCombatModel.java:58)	Change visibility of Constant "SimpleCombatModel.UNKNOWN_DEFENCE_MODIFIER" to private	SimpleCombatModel.UNKNOWN_DEFENCE_MODIFIER	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ExportData.ExportData(ExportData.java:70)	Change visibility of Constructor "ExportData.ExportData(GoodsType,int)" to default	ExportData.ExportData(GoodsType,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.ExportData.ExportData(ExportData.java:81)	Change visibility of Constructor "ExportData.ExportData(FreeColXMLReader)" to default	ExportData.ExportData(FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.ExportData.getTagName(ExportData.java:252)	Change visibility of Method "ExportData.getTagName()" to default	ExportData.getTagName()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Disaster.<init>(Disaster.java:46)	Change visibility of Enum "Disaster.Effects" to private - May cause compile errors!	Disaster.Effects	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Disaster.Disaster(Disaster.java:64)	Constructor "Disaster.Disaster(String,Specification)" has 0 references	Disaster.Disaster(String,Specification)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Disaster.getTagName(Disaster.java:227)	Change visibility of Method "Disaster.getTagName()" to private	Disaster.getTagName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.PathNode.PathNode(PathNode.java:77)	Change visibility of Constructor "PathNode.PathNode(Location,int,int,boolean,PathNode,*)" to default	PathNode.PathNode(Location,int,int,boolean,PathNode,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.PathNode.addTurns(PathNode.java:153)	Change visibility of Method "PathNode.addTurns(int)" to default	PathNode.addTurns(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.PathNode.getCost(PathNode.java:286)	Change visibility of Method "PathNode.getCost(int,int)" to default	PathNode.getCost(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.PathNode.usesCarrier(PathNode.java:321)	Change visibility of Method "PathNode.usesCarrier()" to default	PathNode.usesCarrier()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.PathNode.embarkedThisTurn(PathNode.java:331)	Change visibility of Method "PathNode.embarkedThisTurn(int)" to default	PathNode.embarkedThisTurn(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoldTradeItem.GoldTradeItem(GoldTradeItem.java:60)	Change visibility of Constructor "GoldTradeItem.GoldTradeItem(Game,FreeColXMLReader)" to default	GoldTradeItem.GoldTradeItem(Game,FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
